iter	Passed	Remaining
145	648	3793
146	649	3770
147	651	3747
148	652	3725
149	653	3703
150	654	3682
151	656	3662
152	660	3654
153	661	3635
154	663	3616
155	664	3597
156	666	3577
157	667	3558
158	670	3548
159	673	3535
160	674	3513
161	675	3495
162	677	3478
163	679	3461
164	680	3444
165	682	3426
166	687	3431
167	689	3413
168	690	3395
169	692	3381
170	694	3366
171	695	3348
172	696	3330
173	697	3313
174	702	3312
175	704	3300
176	706	3284
177	708	3271
178	710	3257
179	711	3241
180	712	3225
181	713	3208
182	716	3199
183	718	3187
184	720	3172
185	723	3166
186	724	3151
187	727	3142
188	732	3145
189	734	3131
190	736	3120
191	740	3114
192	741	3101
193	743	3088
194	747	3085
195	751	3081
196	752	3067
197	753	3052
198	755	3042
199	757	3029
200	758	3014
201	760	3002
202	763	2998
203	764	2984
204	766	2971
205	767	2957
206	768	2943
207	769	2930
208	770	2917
209	771	2903
210	777	2906
211	778	2894
212	780	2882
213	781	2869
214	782	2856
215	783	2843
216	784	2830
217	785	2817
218	786	2804
219	787	2791
220	788	2780
221	789	2768
222	794	2768
223	798	2765
224	799	2755
225	801	2746
226	805	2742
227	810	2743
228	811	2732
229	813	2721
230	815	2715
231	817	2707
232	819	2696
233	820	2687
234	825	2687
235	827	2677
236	828	2666
237	829	2656
238	831	2648
239	833	2638
240	835	2629
241	842	2640
242	844	2630
243	846	2623
244	849	2617
245	863	2645
246	865	2637
247	869	2637
248	871	2628
249	872	2618
250	875	2611
251	876	2601
252	878	2592
253	879	2583
254	885	2586
255	889	2585
256	891	2578
257	894	2571
258	895	2563
259	901	2565
260	902	2556
261	906	2552
262	907	2543
263	909	2535
264	911	2526
265	915	2526
266	919	2525
267	921	2515
268	922	2506
269	923	2497
270	925	2489
271	926	2480
272	933	2485
273	934	2476
274	936	2468
275	937	2460
276	939	2451
277	940	2443
278	942	2436
279	948	2439
280	950	2431
281	951	2423
282	953	2415
283	954	2407
284	956	2399
285	957	2391
286	963	2393
287	965	2386
288	966	2378
289	968	2371
290	978	2384
291	980	2377
292	982	2371
293	984	2365
294	986	2357
295	988	2350
296	992	2348
297	993	2340
298	998	2341
299	1000	2333
300	1001	2326
301	1003	2319
302	1009	2321
303	1010	2314
304	1020	2326
305	1024	2322
306	1025	2315
307	1027	2308
308	1029	2303
309	1031	2295
310	1033	2288
311	1036	2286
312	1038	2279
313	1040	2272
314	1046	2275
315	1047	2267
316	1054	2272
317	1056	2265
318	1058	2258
319	1059	2251
320	1061	2244
321	1073	2260
322	1075	2253
323	1076	2246
324	1078	2239
325	1080	2233
326	1085	2234
327	1087	2227
328	1088	2220
329	1090	2213
330	1091	2206
331	1093	2199
332	1094	2192
333	1096	2185
334	1099	2182
335	1101	2176
336	1105	2174
337	1107	2169
338	1111	2167
339	1117	2168
340	1118	2162
341	1120	2156
342	1122	2150
343	1124	2144
344	1126	2138
345	1131	2138
346	1135	2136
347	1139	2135
348	1141	2129
349	1143	2123
350	1156	2137
351	1157	2131
352	1159	2125
353	1164	2124
354	1165	2117
355	1167	2112
356	1170	2108
357	1172	2102
358	1179	2106
359	1181	2100
360	1182	2093
361	1184	2087
362	1185	2080
363	1187	2075
364	1189	2069
365	1191	2063
366	1196	2064
367	1198	2058
368	1200	2052
369	1202	2046
370	1204	2041
371	1206	2036
372	1210	2034
373	1213	2030
374	1214	2024
375	1216	2018
376	1217	2012
377	1222	2011
378	1224	2006
379	1225	2000
380	1229	1997
381	1231	1992
382	1234	1987
383	1241	1991
384	1243	1986
385	1245	1981
386	1246	1975
387	1249	1971
388	1261	1981
389	1263	1976
390	1265	1970
391	1268	1968
392	1270	1962
393	1272	1956
394	1273	1950
395	1275	1945
396	1278	1941
397	1280	1937
398	1286	1937
399	1287	1931
400	1289	1926
401	1290	1920
402	1292	1914
403	1293	1908
404	1295	1903
405	1301	1904
406	1303	1898
407	1304	1892
408	1306	1887
409	1307	1881
410	1309	1876
411	1310	1870
412	1313	1867
413	1316	1863
414	1317	1857
415	1319	1852
416	1321	1847
417	1323	1842
418	1325	1837
419	1326	1831
420	1330	1829
421	1332	1824
422	1333	1819
423	1337	1817
424	1339	1812
425	1342	1809
426	1351	1813
427	1353	1809
428	1355	1804
429	1357	1798
430	1358	1793
431	1364	1794
432	1366	1789
433	1368	1784
434	1369	1778
